benchmark_id;benchmark;algorithm;version;solution_id;cost;time
31;Corridors 1;A*+OD+ID;correct TSP cache (TU);60430;735;37041
31;Corridors 1;A*+OD+ID;correct TSP cache (TU);60481;;123906
31;Corridors 1;A*+OD+ID;correct TSP cache (TU);60486;714;1389
31;Corridors 1;A*+OD+ID;correct TSP cache (TU);60518;;124109
31;Corridors 1;A*+OD+ID;correct TSP cache (TU);60532;;123655
31;Corridors 1;A*+OD+ID;correct TSP cache (TU);60564;737;22521
31;Corridors 1;A*+OD+ID;correct TSP cache (TU);60579;685;1550
31;Corridors 1;A*+OD+ID;correct TSP cache (TU);60610;749;318
31;Corridors 1;A*+OD+ID;correct TSP cache (TU);60624;;122177
31;Corridors 1;A*+OD+ID;correct TSP cache (TU);60429;735;3253
31;Corridors 1;BCP;heuristic-based waypoints 64 (TUD);60674;653;3032
31;Corridors 1;BCP;heuristic-based waypoints 64 (TUD);60453;789;930
31;Corridors 1;BCP;heuristic-based waypoints 64 (TUD);60916;772;600050
31;Corridors 1;BCP;heuristic-based waypoints 64 (TUD);60022;820;14772
31;Corridors 1;BCP;heuristic-based waypoints 64 (TUD);49822;775;43383
31;Corridors 1;BCP;heuristic-based waypoints 64 (TUD);52392;753;119
31;Corridors 1;BCP;heuristic-based waypoints 64 (TUD);54806;644;3249
31;Corridors 1;BCP;heuristic-based waypoints 64 (TUD);56732;646;93
31;Corridors 1;BCP;heuristic-based waypoints 64 (TUD);60590;719;600009
31;Corridors 1;BCP;heuristic-based waypoints 64 (TUD);58652;692;300
31;Corridors 1;CBS;(TUD);48151;708;951
31;Corridors 1;CBS;(TUD);47607;582;200
31;Corridors 1;CBS;(TUD);47627;682;476
31;Corridors 1;CBS;(TUD);47717;654;248
31;Corridors 1;CBS;(TUD);47787;679;562
31;Corridors 1;CBS;(TUD);47807;715;225
31;Corridors 1;CBS;(TUD);47877;;3026
31;Corridors 1;CBS;(TUD);47897;648;306
31;Corridors 1;CBS;(TUD);47917;663;439
31;Corridors 1;CBS;(TUD);48081;749;1295
31;Corridors 1;CBS;(TUD);201269;825;4921
31;Corridors 1;CBS;(TUD);47587;;1029
31;Corridors 1;CBS;(TUD_voor_timons_vergelijking);201432;;20053
31;Corridors 1;CBS;(TUD_voor_timons_vergelijking);201372;;20085
31;Corridors 1;CBS;(TUD_voor_timons_vergelijking);201392;670;3016
31;Corridors 1;CBS;(TUD_voor_timons_vergelijking);201272;590;199
31;Corridors 1;CBS;(TUD_voor_timons_vergelijking);201292;661;122
31;Corridors 1;CBS;(TUD_voor_timons_vergelijking);201312;;20051
31;Corridors 1;CBS;(TUD_voor_timons_vergelijking);201332;684;788
31;Corridors 1;CBS;(TUD_voor_timons_vergelijking);201352;824;11362
31;Corridors 1;CBS;(TUD_voor_timons_vergelijking);201412;;20150
31;Corridors 1;CBS;(TUD_voor_timons_vergelijking);201452;664;8128
31;Corridors 1;M*;Python (TU);179299;;20259
31;Corridors 1;M*;Python (TU);178769;;20352
31;Corridors 1;M*;Python (TU);178889;;20317
31;Corridors 1;M*;Python (TU);178959;699;631
31;Corridors 1;M*;Python (TU);179129;;20234
31;Corridors 1;M*;Python (TU);179199;;20264
31;Corridors 1;M*;Python (TU);179219;;20252
31;Corridors 1;M*;Python (TU);179239;;20254
31;Corridors 1;M*;Python (TU);179259;;20347
31;Corridors 1;M*;Python (TU);179279;;20323
31;Corridors 1;M* Inflated;Python (TU);179509;686;71
31;Corridors 1;M* Inflated;Python (TU);179469;664;119
31;Corridors 1;M* Inflated;Python (TU);179369;662;198
31;Corridors 1;M* Inflated;Python (TU);179389;714;53
31;Corridors 1;M* Inflated;Python (TU);179409;728;118
31;Corridors 1;M* Inflated;Python (TU);179429;806;222
31;Corridors 1;M* Inflated;Python (TU);179449;745;2581
31;Corridors 1;M* Inflated;Python (TU);179549;600;57
31;Corridors 1;M* Inflated;Python (TU);179529;758;201
31;Corridors 1;M* Inflated;Python (TU);179489;;20234
31;Corridors 1;Unordered MLA* v2;linear, resting, dist (TU);201943;898;138
31;Corridors 1;Unordered MLA* v2;linear, resting, dist (TU);201944;910;59
31;Corridors 1;Unordered MLA* v2;linear, resting, dist (TU);201945;;
31;Corridors 1;Unordered MLA* v2;linear, resting, dist (TU);201952;;
31;Corridors 1;Unordered MLA* v2;linear, resting, dist (TU);201951;1126;129
31;Corridors 1;Unordered MLA* v2;linear, resting, dist (TU);201950;897;59
31;Corridors 1;Unordered MLA* v2;linear, resting, dist (TU);201949;949;74
31;Corridors 1;Unordered MLA* v2;linear, resting, dist (TU);201948;843;45
31;Corridors 1;Unordered MLA* v2;linear, resting, dist (TU);201947;759;54
31;Corridors 1;Unordered MLA* v2;linear, resting, dist (TU);201946;;
31;Corridors 1;Unordered MLA* v2;linear, resting, dist (TU);201930;1064;108
31;Corridors 1;Unordered MLA* v2;linear, resting, dist (TU);201922;802;46
31;Corridors 1;Unordered MLA* v2;linear, resting, dist (TU);201940;1031;64
31;Corridors 1;Unordered MLA* v2;linear, resting, dist (TU);201941;;
31;Corridors 1;Unordered MLA* v2;linear, resting, dist (TU);201942;855;66
32;Corridors 2;A*+OD+ID;correct TSP cache (TU);60431;;121667
32;Corridors 2;A*+OD+ID;correct TSP cache (TU);60432;;123395
32;Corridors 2;A*+OD+ID;correct TSP cache (TU);60484;778;673
32;Corridors 2;A*+OD+ID;correct TSP cache (TU);60487;;122726
32;Corridors 2;A*+OD+ID;correct TSP cache (TU);60520;;123440
32;Corridors 2;A*+OD+ID;correct TSP cache (TU);60535;;120863
32;Corridors 2;A*+OD+ID;correct TSP cache (TU);60570;;124394
32;Corridors 2;A*+OD+ID;correct TSP cache (TU);60580;747;466
32;Corridors 2;A*+OD+ID;correct TSP cache (TU);60611;;122862
32;Corridors 2;A*+OD+ID;correct TSP cache (TU);60626;;123505
32;Corridors 2;BCP;heuristic-based waypoints 64 (TUD);60967;745;35702
32;Corridors 2;BCP;heuristic-based waypoints 64 (TUD);60675;632;2926
32;Corridors 2;BCP;heuristic-based waypoints 64 (TUD);60618;662;1966
32;Corridors 2;BCP;heuristic-based waypoints 64 (TUD);60454;762;17432
32;Corridors 2;BCP;heuristic-based waypoints 64 (TUD);49873;690;600027
32;Corridors 2;BCP;heuristic-based waypoints 64 (TUD);52393;;608906
32;Corridors 2;BCP;heuristic-based waypoints 64 (TUD);54813;748;1858
32;Corridors 2;BCP;heuristic-based waypoints 64 (TUD);56733;705;9185
32;Corridors 2;BCP;heuristic-based waypoints 64 (TUD);58653;822;49673
32;Corridors 2;BCP;heuristic-based waypoints 64 (TUD);60023;646;600019
32;Corridors 2;CBS;(TUD);47718;;3032
32;Corridors 2;CBS;(TUD);48152;724;1964
32;Corridors 2;CBS;(TUD);47878;810;2442
32;Corridors 2;CBS;(TUD);47588;;1024
32;Corridors 2;CBS;(TUD);47608;672;948
32;Corridors 2;CBS;(TUD);47628;;3028
32;Corridors 2;CBS;(TUD);48082;;3021
32;Corridors 2;CBS;(TUD);47918;770;975
32;Corridors 2;CBS;(TUD);47898;725;1400
32;Corridors 2;CBS;(TUD);201270;617;493
32;Corridors 2;CBS;(TUD);47808;;3031
32;Corridors 2;CBS;(TUD);47788;761;654
32;Corridors 2;CBS;(TUD_voor_timons_vergelijking);201433;765;4687
32;Corridors 2;CBS;(TUD_voor_timons_vergelijking);201453;;20057
32;Corridors 2;CBS;(TUD_voor_timons_vergelijking);201413;796;6320
32;Corridors 2;CBS;(TUD_voor_timons_vergelijking);201393;;20047
32;Corridors 2;CBS;(TUD_voor_timons_vergelijking);201373;622;113
32;Corridors 2;CBS;(TUD_voor_timons_vergelijking);201353;;20035
32;Corridors 2;CBS;(TUD_voor_timons_vergelijking);201333;690;416
32;Corridors 2;CBS;(TUD_voor_timons_vergelijking);201313;;20037
32;Corridors 2;CBS;(TUD_voor_timons_vergelijking);201293;;20097
32;Corridors 2;CBS;(TUD_voor_timons_vergelijking);201273;708;931
32;Corridors 2;M*;Python (TU);179240;;20259
32;Corridors 2;M*;Python (TU);179200;;20329
32;Corridors 2;M*;Python (TU);178820;;20234
32;Corridors 2;M*;Python (TU);178890;;20238
32;Corridors 2;M*;Python (TU);178960;;20269
32;Corridors 2;M*;Python (TU);179130;;20255
32;Corridors 2;M*;Python (TU);179300;723;64
32;Corridors 2;M*;Python (TU);179280;;20261
32;Corridors 2;M*;Python (TU);179260;;20258
32;Corridors 2;M*;Python (TU);179220;;20205
32;Corridors 2;M* Inflated;Python (TU);179370;;20358
32;Corridors 2;M* Inflated;Python (TU);179550;699;91
32;Corridors 2;M* Inflated;Python (TU);179530;807;1199
32;Corridors 2;M* Inflated;Python (TU);179510;763;164
32;Corridors 2;M* Inflated;Python (TU);179450;643;7410
32;Corridors 2;M* Inflated;Python (TU);179490;696;53
32;Corridors 2;M* Inflated;Python (TU);179430;856;252
32;Corridors 2;M* Inflated;Python (TU);179470;;20262
32;Corridors 2;M* Inflated;Python (TU);179410;709;254
32;Corridors 2;M* Inflated;Python (TU);179390;691;89
32;Corridors 2;Unordered MLA* v2;linear, resting, dist (TU);201923;1108;118
32;Corridors 2;Unordered MLA* v2;linear, resting, dist (TU);201957;1028;90
32;Corridors 2;Unordered MLA* v2;linear, resting, dist (TU);201956;1021;63
32;Corridors 2;Unordered MLA* v2;linear, resting, dist (TU);201955;936;60
32;Corridors 2;Unordered MLA* v2;linear, resting, dist (TU);201954;888;66
32;Corridors 2;Unordered MLA* v2;linear, resting, dist (TU);201953;;
32;Corridors 2;Unordered MLA* v2;linear, resting, dist (TU);201931;1009;54
32;Corridors 2;Unordered MLA* v2;linear, resting, dist (TU);201958;1090;602
32;Corridors 2;Unordered MLA* v2;linear, resting, dist (TU);201962;;
32;Corridors 2;Unordered MLA* v2;linear, resting, dist (TU);201961;855;182
32;Corridors 2;Unordered MLA* v2;linear, resting, dist (TU);201960;;
32;Corridors 2;Unordered MLA* v2;linear, resting, dist (TU);201959;885;125
34;Corridors 3;A*+OD+ID;correct TSP cache (TU);60536;781;1986
34;Corridors 3;A*+OD+ID;correct TSP cache (TU);60528;800;531
34;Corridors 3;A*+OD+ID;correct TSP cache (TU);60492;;122703
34;Corridors 3;A*+OD+ID;correct TSP cache (TU);60485;808;40007
34;Corridors 3;A*+OD+ID;correct TSP cache (TU);60435;;123498
34;Corridors 3;A*+OD+ID;correct TSP cache (TU);60433;723;486
34;Corridors 3;A*+OD+ID;correct TSP cache (TU);60628;769;567
34;Corridors 3;A*+OD+ID;correct TSP cache (TU);60617;666;30301
