benchmark,algorithm,version,time,cost,solved
Average Grade 1,A*+OD+ID,correct TSP cache (TU),611,441,t
Average Grade 1,A*+OD+ID,correct TSP cache (TU),320,372,t
Average Grade 1,A*+OD+ID,correct TSP cache (TU),329,450,t
Average Grade 1,A*+OD+ID,correct TSP cache (TU),338,398,t
Average Grade 1,A*+OD+ID,correct TSP cache (TU),365,458,t
Average Grade 1,A*+OD+ID,correct TSP cache (TU),369,401,t
Average Grade 1,A*+OD+ID,correct TSP cache (TU),326,442,t
Average Grade 1,A*+OD+ID,correct TSP cache (TU),349,416,t
Average Grade 1,A*+OD+ID,correct TSP cache (TU),1820,382,t
Average Grade 1,A*+OD+ID,correct TSP cache (TU),350,438,t
Average Grade 1,BCP,heuristic-based waypoints 64 (TUD),100,412,t
Average Grade 1,BCP,heuristic-based waypoints 64 (TUD),156,419,t
Average Grade 1,BCP,heuristic-based waypoints 64 (TUD),80,397,t
Average Grade 1,BCP,heuristic-based waypoints 64 (TUD),133,382,t
Average Grade 1,BCP,heuristic-based waypoints 64 (TUD),217,437,t
Average Grade 1,BCP,heuristic-based waypoints 64 (TUD),212,418,t
Average Grade 1,BCP,heuristic-based waypoints 64 (TUD),75,393,t
Average Grade 1,BCP,heuristic-based waypoints 64 (TUD),199,433,t
Average Grade 1,BCP,heuristic-based waypoints 64 (TUD),343,451,t
Average Grade 1,BCP,heuristic-based waypoints 64 (TUD),80,407,t
Average Grade 1,CBS,(TUD),157,411,t
Average Grade 1,CBS,(TUD),92,416,t
Average Grade 1,CBS,(TUD),91,421,t
Average Grade 1,CBS,(TUD),90,377,t
Average Grade 1,CBS,(TUD),193,386,t
Average Grade 1,CBS,(TUD),189,371,t
Average Grade 1,CBS,(TUD),93,473,t
Average Grade 1,CBS,(TUD),133,437,t
Average Grade 1,CBS,(TUD),99,340,t
Average Grade 1,CBS,(TUD),107,418,t
Average Grade 1,M*,Python inflated,78,418,t
Average Grade 1,M*,Python inflated,266,380,t
Average Grade 1,M*,Python inflated,94,372,t
Average Grade 1,M*,Python inflated,94,443,t
Average Grade 1,M*,Python inflated,94,449,t
Average Grade 1,M*,Python inflated,250,429,t
Average Grade 1,M*,Python inflated,94,422,t
Average Grade 1,M*,Python inflated,93,396,t
Average Grade 1,M*,Python inflated,95,439,t
Average Grade 1,M*,Python inflated,78,457,t
Average Grade 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",58,489,t
Average Grade 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",54,493,t
Average Grade 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",94,568,t
Average Grade 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",61,502,t
Average Grade 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",66,490,t
Average Grade 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",63,521,t
Average Grade 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",83,528,t
Average Grade 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",72,430,t
